id;shareholder_id_dc;cnp;first_name;last_name;shares_no;is_pf;is_resident;tax_value;status;country_residence;county_residence;city_residence;village_residence;foreign_locality_residence;street_residence;street_no
1;74288;Hat;Ricardo;Hoeger;12076;true;true;24365;time-frame Iceland Wisconsin;Hungary;94508;8988;8023;Computer Parks;Rubber Carolina;Kuwait
2;59286;pink;Andrew;Reynolds;20961;true;true;42535;New deposit dynamic;24/7 capacitor;44800;55210;35244;copying;Marino Licensed;AGP Bedfordshire Nebraska
3;67736;Dong incubate;Lilly;Gorczany;9199;true;false;8664;generating bandwidth auxiliary;sticky compressing Implementation;25569;42539;66833;International Account;Peso;Wooden
4;17310;reboot;Lily;Medhurst;14756;true;true;45058;Identity back-end Yemen;hacking;98072;93355;53246;benchmark;Central black;copying invoice
5;68601;systemic input Buckinghamshire;Noble;Jacobs;40882;false;false;41205;maroon salmon open-source;Borders Frozen;1676;22032;16747;Intelligent as array;redefine Checking;Assimilated
6;67534;silver Colorado Regional;Devon;Keeling;32394;false;true;5351;Shoes open Buckinghamshire;Licensed Hat;13912;63229;83967;Table Future;Israeli;Borders bluetooth
7;61871;Glens District extranet;Lafayette;Zemlak;79143;true;false;86175;attitude-oriented Zambia Maryland;withdrawal Gloves Investment;30109;32376;2455;aggregate Product;Account rich;Steel Jamaica
8;92281;Corporate synergize;Adaline;Cassin;54186;false;false;52059;Dinar workforce Legacy;Pants;36417;37306;90909;exuding Ball 24/7;Home needs-based Lithuania;evolve Shoal cross-platform
9;10100;and;Kade;Carroll;18046;false;false;71926;Sausages;neural-net Fresh;78014;36903;73956;grey action-items;Account mission-critical;Fresh
10;65277;connect Handmade;Leopoldo;Nienow;11217;true;false;90311;input Practical Metal;SDR;40586;57119;55998;Locks Forward synthesizing;Baby Island withdrawal;Djibouti
